l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
16.0,16.0,8.0,512.0,2.0,128.0,800.5,5.12,805.62,1.927598904,161.64207912320003
64.0,16.0,2.0,512.0,2.0,128.0,1160.5,14.336,1174.836,1.930394992,233.64431599360003
16.0,16.0,1.0,64.0,4.0,16.0,325.0,2.048,327.048,3.526462104,67.8211696832
16.0,16.0,1.0,64.0,8.0,16.0,326.0,1.024,327.024,3.464838264,67.9718706112
16.0,16.0,2.0,64.0,4.0,16.0,329.0,34.816,363.81600000000003,3.496115976,68.5968927808
128.0,1.0,1.0,1024.0,4.0,32.0,2061.0,16.384,2077.384,2.955642272,414.5645138176001
8.0,128.0,1.0,1024.0,4.0,32.0,2117.0,16.384,2133.384,2.762316872,425.60985349760006
2.0,4.0,2.0,8.0,8.0,16.0,66.0,6.272,72.272,5.96798332,17.974386656
16.0,16.0,2.0,64.0,1.0,16.0,328.25,32.768,361.01800000000003,3.906053736,68.7748429888
1.0,8.0,1.0,16.0,1.0,32.0,92.25,0.0,92.25,5.836205232,23.1189641856
2.0,2.0,2.0,8.0,2.0,128.0,48.5,0.5760000000000001,49.076,5.252950976,13.902360780800002
2.0,2.0,8.0,8.0,8.0,16.0,74.0,1.1520000000000001,75.152,6.072311552,19.6578492416
16.0,16.0,2.0,64.0,2.0,128.0,328.5,4.6080000000000005,333.108,3.107300888,68.1858407104
16.0,16.0,2.0,128.0,2.0,16.0,392.5,40.96,433.46,3.286554216,81.1292433728
16.0,16.0,2.0,128.0,1.0,16.0,392.25,32.768,425.01800000000003,3.459206056,81.2173648448
2.0,2.0,8.0,8.0,8.0,128.0,74.0,0.14400000000000002,74.144,5.339409088,19.0715272704
2.0,4.0,8.0,512.0,2.0,16.0,592.5,34.304,626.804,3.293787184,121.1350297472
8.0,1.0,1.0,128.0,1.0,32.0,204.25,0.0,204.25,3.880723368,43.9545786944
1.0,8.0,1.0,1024.0,4.0,32.0,1101.0,16.384,1117.384,3.075646032,222.6605168256
2.0,32.0,8.0,512.0,2.0,16.0,816.5,41.472,857.972,3.218423952,165.87473916160002
64.0,16.0,8.0,128.0,2.0,128.0,800.5,3.584,804.084,2.656314864,162.22505189120002
16.0,16.0,1.0,512.0,2.0,16.0,772.5,32.768,805.268,2.984275544,156.8874204352
4.0,2.0,2.0,512.0,8.0,128.0,570.0,1.792,571.792,2.03126016,115.625008128
128.0,8.0,4.0,1024.0,4.0,32.0,2129.0,51.2,2180.2,2.737868688,427.9902949504
16.0,16.0,4.0,128.0,2.0,16.0,400.5,24.576,425.076,3.247736392,82.69818911360001
1.0,8.0,4.0,128.0,1.0,32.0,216.25,2.3040000000000003,218.554,3.791576056,46.2832608448
1.0,8.0,4.0,128.0,4.0,32.0,217.0,4.352,221.352,3.475806936,46.18064554880001
2.0,32.0,8.0,512.0,2.0,128.0,816.5,5.184,821.684,2.035491824,164.9283934592
16.0,64.0,2.0,128.0,2.0,128.0,776.5,11.264,787.764,2.6045699840000003,157.3836559872
16.0,16.0,1.0,128.0,4.0,16.0,389.0,4.096,393.096,3.260088664,80.40807093120002
16.0,16.0,2.0,512.0,1.0,16.0,776.25,32.768,809.018,3.031746856,157.6753974848
4.0,32.0,2.0,512.0,2.0,16.0,808.5,69.632,878.1320000000001,3.096335112,164.17706808960003
16.0,16.0,4.0,128.0,1.0,16.0,400.25,16.384,416.634,3.411554312,82.77924344960002
2.0,2.0,2.0,8.0,8.0,16.0,50.0,4.224,54.224000000000004,6.19234528,14.953876224
1.0,1.0,1.0,16.0,1.0,64.0,36.25,0.0,36.25,5.631297232,11.755037785599999
16.0,16.0,2.0,64.0,8.0,128.0,330.0,4.224,334.224,3.142322168,68.5138577344
4.0,2.0,2.0,512.0,8.0,16.0,570.0,14.336,584.336,3.212223848,116.5697790784
8.0,8.0,1.0,128.0,1.0,32.0,260.25,0.0,260.25,3.577882176,54.91230574080001
32.0,32.0,8.0,512.0,8.0,16.0,1058.0,24.576,1082.576,2.896021384,213.91681710720002
32.0,4.0,8.0,512.0,8.0,16.0,834.0,17.408,851.408,2.969781736,169.1758253888
1.0,1.0,1.0,16.0,1.0,32.0,36.25,0.0,36.25,6.761207864,12.6589662912
2.0,2.0,2.0,512.0,2.0,128.0,552.5,4.6080000000000005,557.108,2.1554303360000002,112.2243442688
2.0,32.0,8.0,512.0,8.0,16.0,818.0,16.896,834.896,3.223844912,166.17907592960003
16.0,16.0,8.0,64.0,8.0,128.0,354.0,1.1520000000000001,355.152,3.117539224,73.29403137919999
32.0,2.0,8.0,512.0,2.0,16.0,816.5,41.472,857.972,2.992651544,165.69412123520002
8.0,1.0,4.0,128.0,4.0,32.0,217.0,4.352,221.352,3.341496672,46.07319733760001
8.0,1.0,4.0,16.0,4.0,32.0,105.0,2.5600000000000005,107.56,4.652694911999999,24.7221559296
64.0,16.0,8.0,128.0,8.0,128.0,802.0,2.816,804.816,2.607229104,162.4857832832
4.0,2.0,8.0,512.0,2.0,128.0,592.5,4.288,596.788,2.1066559920000003,120.1853247936
8.0,128.0,1.0,1024.0,1.0,32.0,2116.25,0.0,2116.25,2.8358792719999997,425.5187034176
1.0,1.0,4.0,1024.0,4.0,32.0,1057.0,16.896,1073.896,3.127309792,213.90184783360002
16.0,16.0,2.0,256.0,1.0,16.0,520.25,32.768,553.018,3.224682376,106.62974590080002
4.0,4.0,2.0,8.0,2.0,128.0,80.5,1.088,81.588,4.640687912000001,19.8125503296
1.0,8.0,1.0,16.0,4.0,32.0,93.0,0.256,93.256,4.9773532320000005,22.581882585600002
2.0,4.0,2.0,512.0,8.0,128.0,570.0,1.792,571.792,1.999211688,115.5993693504
128.0,8.0,1.0,1024.0,1.0,32.0,2116.25,0.0,2116.25,2.85760588,425.536084704
32.0,32.0,2.0,512.0,2.0,16.0,1032.5,98.304,1130.804,2.909183096,208.8273464768
16.0,16.0,2.0,512.0,8.0,16.0,778.0,40.96,818.96,2.963358856,157.97068708480003
32.0,2.0,2.0,512.0,2.0,16.0,792.5,67.584,860.0840000000001,3.020131992,160.9161055936
4.0,4.0,8.0,512.0,2.0,16.0,608.5,34.816,643.316,3.109499144,124.1875993152
16.0,64.0,8.0,512.0,2.0,128.0,1184.5,6.656000000000001,1191.156,1.90408036,238.423264288
64.0,64.0,2.0,128.0,2.0,128.0,1160.5,17.408,1177.908,2.582342008,234.16587360640003
1.0,1.0,1.0,128.0,4.0,64.0,149.0,1.024,150.024,3.138968752,32.3111750016
1.0,1.0,1.0,16.0,4.0,64.0,37.0,0.128,37.128,4.475983312,10.9807866496
1.0,1.0,4.0,4.0,1.0,32.0,36.25,0.512,36.762,9.831583552,15.1152668416
1.0,128.0,1.0,1024.0,1.0,32.0,2060.25,0.0,2060.25,3.071411768,414.5071294144
4.0,2.0,2.0,512.0,2.0,16.0,568.5,38.912,607.412,3.207301928,116.2658415424
16.0,16.0,1.0,128.0,8.0,16.0,390.0,2.048,392.048,3.241112824,80.5928902592
16.0,16.0,2.0,128.0,8.0,128.0,394.0,4.352,398.352,2.6339644079999998,80.9071715264
16.0,16.0,4.0,64.0,4.0,16.0,337.0,18.432000000000002,355.432,3.457753512,70.16620280960001
4.0,2.0,8.0,512.0,8.0,128.0,594.0,1.216,595.216,2.0183183920000003,120.41465471360002
16.0,16.0,8.0,128.0,2.0,128.0,416.5,2.048,418.548,2.656325304,85.42506024320001
1.0,1.0,4.0,4.0,4.0,32.0,37.0,0.5760000000000001,37.576,9.136185632,14.7089485056
1.0,1.0,1.0,2.0,4.0,16.0,23.0,0.064,23.064,26.285476,25.628380800000002
8.0,8.0,1.0,16.0,1.0,32.0,148.25,0.0,148.25,5.009299456,33.6574395648
8.0,128.0,4.0,1024.0,1.0,32.0,2128.25,34.816,2163.066,2.75721172,427.855769376
1.0,1.0,1.0,4.0,1.0,32.0,24.25,0.0,24.25,10.122260024,12.9478080192
4.0,2.0,8.0,512.0,2.0,16.0,592.5,34.304,626.804,3.137379032,121.0099032256
1.0,1.0,1.0,1024.0,4.0,64.0,1045.0,8.192,1053.192,2.591118672,211.0728949376
32.0,2.0,2.0,512.0,8.0,16.0,794.0,43.008,837.008,3.025089112,161.2200712896
4.0,2.0,8.0,8.0,8.0,128.0,90.0,0.20800000000000002,90.208,4.984066232,21.9872529856
32.0,32.0,8.0,512.0,2.0,16.0,1056.5,49.152,1105.652,2.889513224,213.6116105792
16.0,64.0,2.0,512.0,8.0,128.0,1162.0,11.264,1173.264,1.847945344,233.87835627520002
32.0,32.0,2.0,512.0,8.0,16.0,1034.0,73.72800000000001,1107.728,2.915211576,209.1321692608
16.0,16.0,4.0,64.0,1.0,16.0,336.25,16.384,352.634,3.739586632,70.2416693056
4.0,4.0,2.0,512.0,2.0,16.0,584.5,40.96,625.46,3.171721248,119.43737699840001
16.0,16.0,2.0,512.0,8.0,128.0,778.0,5.12,783.12,1.865295768,157.09223661440004
1.0,1.0,1.0,128.0,4.0,32.0,149.0,2.048,151.048,3.735453784,32.7883630272
16.0,64.0,2.0,512.0,2.0,128.0,1160.5,14.336,1174.836,1.926979424,233.6415835392
1.0,1.0,1.0,2.0,1.0,16.0,22.25,0.0,22.25,26.611396,25.7391168
2.0,4.0,8.0,512.0,2.0,128.0,592.5,4.288,596.788,2.079667864,120.1637342912
