l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
8.0,1.0,4.0,16.0,4.0,32.0,105.0,2.5600000000000005,107.56,6.228968752,25.9831750016
16.0,16.0,8.0,128.0,8.0,128.0,418.0,1.28,419.28,1.769215552,85.01537244160001
4.0,4.0,8.0,8.0,8.0,16.0,106.0,2.176,108.176,11.697336776,30.557869420800003
4.0,2.0,8.0,8.0,2.0,16.0,88.5,2.048,90.548,12.213245728,27.4705965824
2.0,4.0,8.0,512.0,2.0,16.0,592.5,34.304,626.804,7.034194696,124.1273557568
8.0,8.0,4.0,16.0,1.0,32.0,160.25,4.096,164.346,5.52472928,36.469783424000006
1.0,1.0,1.0,4.0,4.0,32.0,25.0,0.064,25.064,10.224665752,13.1797326016
4.0,4.0,2.0,8.0,8.0,16.0,82.0,8.32,90.32,11.646193248,25.7169545984
32.0,2.0,2.0,512.0,8.0,16.0,794.0,43.008,837.008,6.7163568,164.17308544000002
1.0,1.0,1.0,4.0,1.0,64.0,24.25,0.0,24.25,7.873797256,11.1490378048
1.0,128.0,1.0,1024.0,1.0,32.0,2060.25,0.0,2060.25,4.1344444320000004,415.3575555456
2.0,4.0,2.0,512.0,2.0,128.0,568.5,4.864,573.364,1.903813784,115.2230510272
128.0,128.0,4.0,1024.0,1.0,32.0,3088.25,65.536,3153.786,3.801182168,620.6909457344001
16.0,16.0,1.0,512.0,8.0,16.0,774.0,8.192,782.192,6.744311808,160.1954494464
1.0,1.0,4.0,1024.0,4.0,32.0,1057.0,16.896,1073.896,4.252254016,214.8018032128
8.0,8.0,4.0,128.0,4.0,32.0,273.0,6.144,279.144,3.95323312,57.762586496000004
16.0,16.0,2.0,128.0,4.0,16.0,393.0,36.864000000000004,429.86400000000003,6.714158552,83.9713268416
4.0,2.0,8.0,512.0,8.0,16.0,594.0,9.728,603.728,6.941567488,124.3532539904
2.0,2.0,8.0,512.0,8.0,16.0,578.0,9.216000000000001,587.216,7.070401248,121.25632099840001
16.0,64.0,8.0,512.0,8.0,128.0,1186.0,3.584,1189.584,1.7467595519999999,238.59740764160003
64.0,16.0,2.0,128.0,2.0,128.0,776.5,11.264,787.764,1.752458128,156.7019665024
16.0,16.0,1.0,1024.0,2.0,16.0,1284.5,65.536,1350.036,6.743529728,262.29482378240004
16.0,16.0,2.0,256.0,1.0,16.0,520.25,32.768,553.018,6.730031992,109.43402559360001
32.0,2.0,8.0,512.0,2.0,16.0,816.5,41.472,857.972,6.677311024,168.64184881920002
32.0,4.0,8.0,512.0,2.0,16.0,832.5,41.984,874.484,6.638754552,171.8110036416
4.0,2.0,2.0,8.0,8.0,16.0,66.0,6.272,72.272,12.232118656,22.9856949248
16.0,16.0,2.0,64.0,1.0,16.0,328.25,32.768,361.01800000000003,7.151695672,71.37135653760001
8.0,8.0,1.0,128.0,1.0,32.0,260.25,0.0,260.25,4.141248344,55.362998675200004
16.0,16.0,1.0,256.0,8.0,16.0,518.0,4.096,522.096,6.746542528,108.99723402240001
2.0,2.0,2.0,512.0,2.0,16.0,552.5,36.864000000000004,589.364,7.09738056,116.177904448
2.0,32.0,8.0,512.0,8.0,128.0,818.0,2.112,820.112,1.8169529359999999,165.05356234880003
1.0,1.0,4.0,16.0,1.0,64.0,48.25,0.256,48.506,5.269671904,13.8657375232
1.0,1.0,1.0,128.0,1.0,32.0,148.25,0.0,148.25,4.670980792,33.3867846336
4.0,32.0,2.0,512.0,2.0,16.0,808.5,69.632,878.1320000000001,6.899422824,167.21953825920002
1.0,1.0,1.0,16.0,4.0,64.0,37.0,0.128,37.128,4.818583816,11.254867052800002
2.0,4.0,2.0,8.0,8.0,128.0,66.0,0.784,66.784,4.049649624000001,16.4397196992
1.0,1.0,1.0,16.0,4.0,32.0,37.0,0.256,37.256,6.908708152,12.9269665216
4.0,32.0,8.0,512.0,2.0,16.0,832.5,41.984,874.484,6.86050552,171.988404416
2.0,4.0,8.0,512.0,2.0,128.0,592.5,4.288,596.788,1.869299824,119.9954398592
1.0,128.0,4.0,1024.0,1.0,32.0,2072.25,33.024,2105.274,4.114656399999999,417.74172512000007
4.0,2.0,2.0,8.0,8.0,128.0,66.0,0.784,66.784,4.174296648,16.5394373184
1.0,8.0,4.0,128.0,4.0,32.0,217.0,4.352,221.352,4.146857744,46.7174861952
32.0,32.0,8.0,512.0,2.0,16.0,1056.5,49.152,1105.652,6.595070336,216.57605626880002
16.0,16.0,1.0,1024.0,8.0,16.0,1286.0,16.384,1302.384,6.742791488,262.59423319039996
1.0,1.0,1.0,4.0,4.0,64.0,25.0,0.032,25.032,7.475460136,10.9803681088
128.0,128.0,1.0,1024.0,4.0,32.0,3077.0,16.384,3093.384,3.802421256,618.4419370048001
8.0,8.0,1.0,16.0,4.0,32.0,149.0,0.256,149.256,5.469252504,34.1754020032
32.0,2.0,8.0,512.0,8.0,16.0,818.0,16.896,834.896,6.676347504,168.94107800320003
32.0,4.0,2.0,512.0,8.0,16.0,810.0,45.056000000000004,855.056,6.670615392,167.3364923136
16.0,16.0,1.0,1024.0,1.0,16.0,1284.25,0.0,1284.25,6.754680768,262.25374461440003
8.0,1.0,1.0,16.0,1.0,32.0,92.25,0.0,92.25,6.398966664,23.5691733312
16.0,16.0,8.0,64.0,8.0,128.0,354.0,1.1520000000000001,355.152,1.8500763519999999,72.2800610816
2.0,4.0,2.0,512.0,8.0,16.0,570.0,14.336,584.336,7.049028592,119.6392228736
4.0,4.0,2.0,8.0,2.0,16.0,80.5,8.704,89.20400000000001,11.674257408,25.439405926400003
1.0,1.0,1.0,16.0,1.0,32.0,36.25,0.0,36.25,7.655164952,13.3741319616
2.0,2.0,8.0,512.0,2.0,16.0,576.5,33.792,610.292,7.073112608,120.95849008640002
1.0,1.0,1.0,128.0,1.0,64.0,148.25,0.0,148.25,3.192065416,32.203652332800004
4.0,2.0,8.0,8.0,2.0,128.0,88.5,0.256,88.756,4.221128032,21.0769024256
1.0,1.0,4.0,128.0,4.0,32.0,161.0,2.56,163.56,4.266273216,35.6130185728
16.0,16.0,1.0,256.0,4.0,16.0,517.0,8.192,525.192,6.747275168,108.79782013440001
4.0,32.0,2.0,512.0,8.0,16.0,810.0,45.056000000000004,855.056,6.898160904,167.5185287232
16.0,16.0,1.0,64.0,8.0,16.0,326.0,1.024,327.024,6.792650688,70.6341205504
4.0,4.0,2.0,512.0,2.0,16.0,584.5,40.96,625.46,6.946792928,122.4574343424
16.0,16.0,1.0,64.0,2.0,16.0,324.5,4.096,328.596,7.010143488,70.5081147904
128.0,128.0,4.0,1024.0,4.0,32.0,3089.0,81.92,3170.92,3.800520568,620.8404164544
16.0,16.0,2.0,512.0,8.0,128.0,778.0,5.12,783.12,1.766720352,157.01337628160002
8.0,1.0,1.0,128.0,4.0,32.0,205.0,2.048,207.048,4.1705268239999995,44.3364214592
128.0,1.0,4.0,1024.0,1.0,32.0,2072.25,33.024,2105.274,3.942449544,417.60395963520006
16.0,16.0,1.0,1024.0,4.0,16.0,1285.0,32.768,1317.768,6.743051008,262.3944408064
1.0,1.0,4.0,16.0,1.0,32.0,48.25,0.512,48.762,7.492000096,15.6436000768
1.0,8.0,4.0,1024.0,4.0,32.0,1113.0,18.688000000000002,1131.688,4.133672304,225.9069378432
128.0,1.0,1.0,1024.0,1.0,32.0,2060.25,0.0,2060.25,4.028094896,415.27247591680003
2.0,2.0,8.0,8.0,8.0,16.0,74.0,1.1520000000000001,75.152,12.603386848,24.882709478400002
1.0,1.0,4.0,4.0,4.0,64.0,37.0,0.28800000000000003,37.288,7.186277984,13.1490223872
2.0,2.0,8.0,512.0,8.0,128.0,578.0,1.1520000000000001,579.152,1.926568208,117.14125456640001
2.0,4.0,2.0,8.0,8.0,16.0,66.0,6.272,72.272,12.036168592,22.8289348736
2.0,4.0,8.0,8.0,2.0,16.0,88.5,2.048,90.548,11.981100296,27.2848802368
8.0,8.0,1.0,16.0,1.0,32.0,148.25,0.0,148.25,5.631322264,34.1550578112
16.0,16.0,1.0,256.0,2.0,16.0,516.5,16.384,532.884,6.754619648,108.70369571840001
16.0,16.0,2.0,512.0,2.0,16.0,776.5,65.536,842.0360000000001,6.698034072,160.6584272576
2.0,4.0,2.0,8.0,2.0,16.0,64.5,6.656000000000001,71.156,12.066686512,22.5533492096
1.0,1.0,4.0,4.0,1.0,32.0,36.25,0.512,36.762,10.260604576,15.4584836608
1.0,1.0,1.0,1024.0,4.0,64.0,1045.0,8.192,1053.192,2.865815176,211.2926521408
2.0,4.0,8.0,8.0,8.0,16.0,90.0,1.6640000000000001,91.664,11.943640616,27.5549124928
8.0,1.0,4.0,1024.0,4.0,32.0,1113.0,18.688000000000002,1131.688,4.058719632,225.84697570560002
1.0,1.0,4.0,128.0,1.0,32.0,160.25,0.512,160.762,4.575703616,35.710562892800006
16.0,16.0,2.0,256.0,4.0,16.0,521.0,40.96,561.96,6.699397592,109.5595180736
4.0,4.0,8.0,512.0,8.0,16.0,610.0,10.24,620.24,6.903032296,127.5224258368
1.0,8.0,4.0,16.0,4.0,32.0,105.0,2.5600000000000005,107.56,5.874373104,25.6994984832
16.0,16.0,2.0,1024.0,1.0,16.0,1288.25,32.768,1321.018,6.704388792,263.0135110336
8.0,1.0,1.0,128.0,1.0,32.0,204.25,0.0,204.25,4.399890504,44.369912403200004
16.0,16.0,2.0,64.0,2.0,16.0,328.5,36.864000000000004,365.36400000000003,6.923742392,71.2389939136
8.0,8.0,4.0,128.0,1.0,32.0,272.25,4.096,276.346,4.08265968,57.716127744000005
16.0,16.0,1.0,512.0,2.0,16.0,772.5,32.768,805.268,6.745998208,159.8967985664
4.0,2.0,8.0,8.0,8.0,128.0,90.0,0.20800000000000002,90.208,4.191440512,21.3531524096
8.0,8.0,4.0,1024.0,1.0,32.0,1168.25,4.096,1172.346,3.9438712,236.80509696000001
16.0,16.0,1.0,128.0,8.0,16.0,390.0,2.048,392.048,6.755492448,83.4043939584
16.0,16.0,1.0,128.0,2.0,16.0,388.5,8.192,396.692,6.789190368,83.1313522944
2.0,2.0,2.0,8.0,2.0,16.0,48.5,4.6080000000000005,53.108000000000004,12.72903608,19.883228864000003
4.0,2.0,2.0,8.0,2.0,128.0,64.5,0.8320000000000001,65.332,4.325776008,16.3606208064
16.0,16.0,2.0,64.0,2.0,128.0,328.5,4.6080000000000005,333.108,1.9687995520000001,67.2750396416
1.0,1.0,4.0,16.0,4.0,64.0,49.0,0.384,49.384,4.714203584,13.571362867200001
128.0,128.0,1.0,1024.0,1.0,32.0,3076.25,0.0,3076.25,3.803709896,618.2929679168
1.0,8.0,4.0,16.0,1.0,32.0,104.25,2.3040000000000003,106.554,6.310527664,25.8984221312
2.0,4.0,2.0,8.0,2.0,128.0,64.5,0.8320000000000001,65.332,4.119870424,16.1958963392
16.0,16.0,1.0,64.0,4.0,16.0,325.0,2.048,327.048,6.865960448,70.4927683584
4.0,2.0,2.0,8.0,2.0,16.0,64.5,6.656000000000001,71.156,12.312273856,22.749819084800002
