l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
4.0,2.0,8.0,8.0,2.0,128.0,88.5,0.256,88.756,1.639512672,19.011610137599998
4.0,2.0,8.0,512.0,2.0,128.0,592.5,4.288,596.788,1.6388491520000001,119.8110793216
2.0,4.0,2.0,512.0,2.0,16.0,568.5,38.912,607.412,5.588381616,118.17070529280001
2.0,4.0,8.0,512.0,8.0,16.0,594.0,9.728,603.728,5.578598376,123.26287870080002
16.0,16.0,1.0,64.0,1.0,64.0,324.25,0.0,324.25,6.531868131868132,70.07549450549452
32.0,2.0,2.0,512.0,8.0,128.0,794.0,5.376,799.376,1.794273344,160.2354186752
16.0,16.0,8.0,64.0,2.0,128.0,352.5,1.536,354.036,1.6393747267212504,71.811499781377
32.0,2.0,8.0,512.0,2.0,16.0,816.5,41.472,857.972,5.578585968,167.7628687744
128.0,1.0,4.0,1024.0,4.0,32.0,2073.0,49.408,2122.408,3.326875376,417.26150030080004
16.0,16.0,2.0,128.0,1.0,16.0,392.25,32.768,425.01800000000003,16.18725274725275,91.3998021978022
1.0,1.0,1.0,4.0,1.0,64.0,24.25,0.0,24.25,3.729009688,7.833207750400001
1.0,8.0,1.0,128.0,4.0,32.0,205.0,2.048,207.048,3.336160888,43.6689287104
16.0,16.0,8.0,64.0,8.0,128.0,354.0,1.1520000000000001,355.152,1.639379046721242,72.111503237377
16.0,16.0,1.0,256.0,4.0,64.0,517.0,2.048,519.048,29.9375,127.35000000000001
2.0,2.0,2.0,8.0,8.0,128.0,50.0,0.528,50.528,1.795291448,11.4362331584
1.0,1.0,1.0,4.0,4.0,32.0,25.0,0.064,25.064,4.183527408,8.3468219264
8.0,8.0,1.0,128.0,1.0,32.0,260.25,0.0,260.25,3.339498832,54.7215990656
16.0,64.0,2.0,512.0,2.0,512.0,1160.5,3.584,1164.084,1.1672833356654333,233.03382666853236
8.0,8.0,1.0,1024.0,4.0,32.0,1157.0,16.384,1173.384,3.333294512,234.0666356096
16.0,16.0,1.0,1024.0,4.0,16.0,1285.0,32.768,1317.768,16.2021978021978,269.9617582417582
128.0,8.0,1.0,1024.0,4.0,32.0,2117.0,16.384,2133.384,3.333284352,426.06662748160005
16.0,16.0,4.0,256.0,1.0,16.0,528.25,16.384,544.634,16.176703296703295,118.59136263736264
16.0,16.0,1.0,1024.0,8.0,16.0,1286.0,16.384,1302.384,5.579800496,261.66384039679997
16.0,16.0,1.0,64.0,4.0,16.0,325.0,2.048,327.048,16.2021978021978,77.96175824175825
8.0,8.0,1.0,16.0,4.0,32.0,149.0,0.256,149.256,3.339011472,32.4712091776
16.0,16.0,4.0,512.0,2.0,16.0,784.5,49.152,833.652,16.176703296703295,169.84136263736264
16.0,16.0,2.0,128.0,2.0,128.0,392.5,5.12,397.62,1.6393476147213049,79.81147809177705
16.0,16.0,1.0,64.0,2.0,16.0,324.5,4.096,328.596,16.2021978021978,77.86175824175825
2.0,2.0,2.0,8.0,8.0,16.0,50.0,4.224,54.224000000000004,5.60566956,14.484535648000001
4.0,32.0,2.0,512.0,8.0,128.0,810.0,5.632000000000001,815.632,1.6386450639999999,163.3109160512
2.0,2.0,8.0,8.0,2.0,128.0,72.5,0.192,72.692,1.6395254879999999,15.8116203904
1.0,1.0,1.0,4.0,1.0,32.0,24.25,0.0,24.25,4.601494607999999,8.5311956864
8.0,128.0,1.0,1024.0,4.0,32.0,2117.0,16.384,2133.384,3.327110224,426.0616881792
1.0,1.0,1.0,16.0,1.0,64.0,36.25,0.0,36.25,3.193273688,9.8046189504
16.0,16.0,2.0,512.0,8.0,16.0,778.0,40.96,818.96,5.5782138,160.06257104000002
16.0,16.0,2.0,256.0,4.0,16.0,521.0,40.96,561.96,16.18725274725275,117.1498021978022
4.0,32.0,2.0,512.0,2.0,16.0,808.5,69.632,878.1320000000001,5.57824544,166.162596352
16.0,16.0,4.0,1024.0,2.0,16.0,1296.5,81.92,1378.42,16.176703296703295,272.24136263736267
1.0,8.0,1.0,16.0,1.0,64.0,92.25,0.0,92.25,2.2580242239999997,20.2564193792
1.0,1.0,4.0,1024.0,4.0,32.0,1057.0,16.896,1073.896,3.326908088,214.0615264704
1.0,8.0,4.0,128.0,4.0,32.0,217.0,4.352,221.352,3.32966304,46.06373043200001
4.0,2.0,8.0,8.0,8.0,16.0,90.0,1.6640000000000001,91.664,5.585736232,22.4685889856
16.0,16.0,1.0,256.0,2.0,16.0,516.5,16.384,532.884,16.2021978021978,116.26175824175826
16.0,16.0,4.0,128.0,2.0,16.0,400.5,24.576,425.076,16.176703296703295,93.04136263736265
4.0,4.0,2.0,8.0,8.0,16.0,82.0,8.32,90.32,5.594771152,20.875816921600002
2.0,4.0,8.0,8.0,8.0,128.0,90.0,0.20800000000000002,90.208,1.639536248,19.3116289984
16.0,16.0,2.0,512.0,2.0,512.0,776.5,2.048,778.548,1.1674151436651696,156.23393211493214
128.0,1.0,4.0,1024.0,1.0,32.0,2072.25,33.024,2105.274,3.327448016,417.11195841280005
16.0,64.0,8.0,512.0,2.0,128.0,1184.5,6.656000000000001,1191.156,1.6388548227222903,238.21108385817783
